Latitude (N),Longitude (E),Occator DTM (LAMO) (256 ppd)
19.892578125000004,241.408203125,6964.0
19.892578125000004,241.412109375,6965.0
19.892578125,241.416015625,6965.0
19.892578125,241.419921875,6965.0
19.892578125000004,241.423828125,6964.0
19.892578125000004,241.427734375,6964.0
19.892578125,241.43164062499997,6964.0
19.892578125000004,241.435546875,6963.0
19.892578125000004,241.439453125,6964.0
19.892578125,241.443359375,6964.0
19.892578125000004,241.447265625,6964.0
19.892578125000004,241.45117187499997,6965.0
19.892578125000004,241.455078125,6965.0
19.892578125,241.458984375,6966.0
19.892578125,241.46289062499997,6966.0
19.892578125000004,241.466796875,6967.0
19.892578125000004,241.470703125,6968.0
19.892578125,241.474609375,6970.0
19.888671875,241.193359375,6940.0
19.888671874999996,241.19726562499997,6940.0
19.888671874999996,241.201171875,6940.0
19.888671874999996,241.205078125,6939.0
19.888671874999996,241.20898437499997,6939.0
19.888671874999996,241.212890625,6939.0
19.888671874999996,241.21679687499994,6938.0
19.888671874999996,241.220703125,6938.0
19.888671875,241.224609375,6937.0
19.888671874999996,241.22851562499997,6937.0
19.888671874999996,241.232421875,6936.0
19.888671874999996,241.236328125,6936.0
19.888671874999996,241.24023437499997,6936.0
19.888671874999996,241.244140625,6936.0
19.888671874999996,241.24804687499994,6935.0
19.888671874999996,241.251953125,6935.0
19.888671875,241.255859375,6935.0
19.888671874999996,241.259765625,6935.0
19.888671874999996,241.263671875,6935.0
19.888671874999996,241.267578125,6936.0
19.888671874999996,241.271484375,6936.0
19.888671874999996,241.275390625,6937.0
19.888671874999996,241.279296875,6937.0
19.888671874999996,241.283203125,6939.0
19.888671875,241.287109375,6940.0
19.888671874999996,241.291015625,6941.0
19.888671874999996,241.294921875,6942.0
19.888671874999996,241.29882812499997,6943.0
19.888671874999996,241.302734375,6944.0
19.888671874999996,241.306640625,6944.0
19.888671874999996,241.310546875,6945.0
19.888671874999996,241.314453125,6945.0
19.888671874999996,241.31835937499997,6945.0
19.888671874999996,241.322265625,6944.0
19.888671874999996,241.326171875,6944.0
19.888671875,241.33007812499997,6944.0
19.888671874999996,241.333984375,6944.0
19.888671874999996,241.337890625,6944.0
19.888671874999996,241.341796875,6945.0
19.888671874999996,241.345703125,6946.0
19.888671874999996,241.34960937499997,6946.0
19.888671874999996,241.353515625,6948.0
19.888671874999996,241.357421875,6949.0
19.888671874999996,241.36132812499997,6950.0
19.888671874999996,241.365234375,6952.0
19.888671874999996,241.36914062499994,6954.0
19.888671874999996,241.373046875,6955.0
19.888671874999996,241.376953125,6957.0
19.888671874999996,241.380859375,6958.0
19.888671874999996,241.384765625,6959.0
19.888671874999996,241.388671875,6960.0
19.888671875,241.392578125,6961.0
19.888671874999996,241.396484375,6962.0
19.888671874999996,241.40039062499997,6964.0
19.888671874999996,241.404296875,6965.0
19.888671874999996,241.408203125,6966.0
19.888671874999996,241.412109375,6967.0
19.888671875,241.416015625,6967.0
19.888671874999996,241.419921875,6967.0
19.888671875,241.423828125,6966.0
19.888671875,241.427734375,6966.0
19.888671874999996,241.43164062499997,6966.0
19.888671874999996,241.435546875,6965.0
19.888671874999996,241.439453125,6966.0
19.888671875,241.443359375,6966.0
19.888671874999996,241.447265625,6966.0
19.888671874999996,241.45117187499997,6967.0
19.888671874999996,241.455078125,6967.0
19.888671874999996,241.458984375,6967.0
19.888671874999996,241.46289062499997,6967.0
19.888671874999996,241.466796875,6968.0
19.888671874999996,241.470703125,6968.0
19.888671874999996,241.474609375,6970.0
19.884765625,241.193359375,6941.0
19.884765625,241.19726562499997,6940.0
19.884765625,241.201171875,6940.0
19.884765625,241.205078125,6940.0
19.884765625,241.20898437499997,6940.0
19.884765625,241.212890625,6940.0
19.884765625,241.21679687499994,6939.0
19.884765624999996,241.220703125,6939.0
19.884765625,241.224609375,6938.0
19.884765625,241.22851562499997,6938.0
19.884765625,241.232421875,6937.0
19.884765625,241.236328125,6937.0
19.884765625,241.24023437499997,6937.0
19.884765624999996,241.244140625,6936.0
19.884765625,241.24804687499994,6936.0
19.884765625,241.251953125,6936.0
19.884765625,241.255859375,6936.0
19.884765624999996,241.259765625,6936.0
19.884765624999996,241.263671875,6936.0
19.884765625,241.267578125,6936.0
19.884765625,241.271484375,6936.0
19.884765625,241.275390625,6937.0
19.884765625,241.279296875,6937.0
19.884765625,241.283203125,6939.0
19.884765625,241.287109375,6940.0
19.884765625,241.291015625,6941.0
19.884765625,241.294921875,6942.0
19.884765625,241.29882812499997,6943.0
19.884765625,241.302734375,6944.0
19.884765625,241.306640625,6944.0
19.884765625,241.310546875,6945.0
19.884765625,241.314453125,6945.0
19.884765625,241.31835937499997,6945.0
19.884765625,241.322265625,6945.0
19.884765625,241.326171875,6946.0
19.884765625,241.33007812499997,6946.0
19.884765625,241.333984375,6946.0
19.884765625,241.337890625,6946.0
19.884765625,241.341796875,6947.0
19.884765625,241.345703125,6948.0
19.884765624999996,241.349609375,6949.0
19.884765625,241.353515625,6950.0
19.884765625,241.357421875,6951.0
19.884765625,241.36132812499997,6953.0
19.884765625,241.365234375,6954.0
19.884765625,241.36914062499994,6956.0
19.884765625,241.373046875,6957.0
19.884765625,241.376953125,6959.0
19.884765624999996,241.380859375,6960.0
19.884765625,241.384765625,6961.0
19.884765625,241.388671875,6962.0
19.884765625,241.392578125,6963.0
19.884765625,241.396484375,6964.0
19.884765624999996,241.400390625,6965.0
19.884765625,241.404296875,6967.0
19.884765625,241.408203125,6968.0
19.884765624999996,241.412109375,6968.0
19.884765625,241.416015625,6968.0
19.884765625,241.41992187499997,6968.0
19.884765625,241.423828125,6968.0
19.884765625,241.427734375,6968.0
19.884765624999996,241.43164062499997,6967.0
19.884765625,241.435546875,6967.0
19.884765625,241.439453125,6967.0
19.884765625,241.443359375,6968.0
19.884765625,241.447265625,6968.0
19.884765624999996,241.45117187499997,6968.0
19.884765625,241.455078125,6968.0
19.884765625,241.458984375,6968.0
19.884765625,241.46289062499997,6968.0
19.884765625,241.466796875,6968.0
19.884765625,241.470703125,6969.0
19.884765625,241.474609375,6970.0
19.880859374999996,241.193359375,6941.0
19.880859374999996,241.19726562499997,6941.0
19.880859374999996,241.201171875,6941.0
19.880859374999996,241.20507812499997,6941.0
19.880859374999996,241.20898437499997,6941.0
19.880859374999996,241.212890625,6941.0
19.880859374999996,241.21679687499994,6940.0
19.880859374999996,241.220703125,6940.0
19.880859374999996,241.224609375,6939.0
19.880859374999996,241.22851562499997,6939.0
19.880859374999996,241.232421875,6938.0
19.880859374999996,241.236328125,6938.0
19.880859374999996,241.24023437499997,6938.0
19.880859374999996,241.244140625,6937.0
19.880859374999996,241.24804687499994,6937.0
19.880859374999996,241.251953125,6937.0
19.880859374999996,241.255859375,6937.0
19.880859374999996,241.259765625,6936.0
19.880859374999996,241.263671875,6936.0
19.880859374999996,241.267578125,6936.0
19.880859374999996,241.271484375,6936.0
19.880859374999996,241.275390625,6937.0
19.880859374999996,241.279296875,6938.0
19.880859374999996,241.283203125,6938.0
19.880859374999996,241.287109375,6940.0
19.880859374999996,241.291015625,6941.0
19.880859374999996,241.294921875,6942.0
19.880859374999996,241.29882812499997,6943.0
19.880859374999996,241.302734375,6944.0
19.880859374999996,241.306640625,6944.0
19.880859374999996,241.310546875,6945.0
19.880859374999996,241.314453125,6946.0
19.880859374999996,241.31835937499997,6946.0
19.880859374999996,241.322265625,6946.0
19.880859374999996,241.326171875,6947.0
19.880859374999996,241.33007812499997,6947.0
19.880859374999996,241.333984375,6948.0
19.880859374999996,241.337890625,6948.0
19.880859374999996,241.341796875,6949.0
19.880859374999996,241.345703125,6950.0
19.880859374999996,241.349609375,6951.0
19.880859374999996,241.353515625,6952.0
19.880859374999996,241.357421875,6953.0
19.880859374999996,241.36132812499997,6955.0
19.880859374999996,241.365234375,6956.0
19.880859374999996,241.36914062499994,6958.0
19.880859374999996,241.373046875,6959.0
19.880859374999996,241.376953125,6960.0
19.880859374999996,241.380859375,6962.0
19.880859374999996,241.384765625,6963.0
19.880859374999996,241.388671875,6963.0
19.880859374999996,241.392578125,6964.0
19.880859374999996,241.39648437499997,6965.0
19.880859374999996,241.40039062499997,6967.0
19.880859374999996,241.404296875,6968.0
19.880859374999996,241.408203125,6969.0
19.880859374999996,241.412109375,6969.0
19.880859374999996,241.416015625,6970.0
19.880859374999996,241.419921875,6970.0
19.880859374999996,241.423828125,6970.0
19.880859374999996,241.427734375,6969.0
19.880859374999996,241.43164062499997,6969.0
19.880859374999996,241.435546875,6969.0
19.880859374999996,241.439453125,6969.0
19.880859374999996,241.443359375,6969.0
19.880859374999996,241.447265625,6969.0
19.880859374999996,241.451171875,6970.0
19.880859374999996,241.455078125,6970.0
19.880859374999996,241.458984375,6970.0
19.880859374999996,241.46289062499997,6969.0
19.880859374999996,241.466796875,6969.0
19.880859374999996,241.470703125,6969.0
19.880859374999996,241.474609375,6970.0
19.876953125,241.193359375,6942.0
19.876953125,241.19726562499997,6942.0
19.876953124999996,241.201171875,6941.0
19.876953125,241.20507812499997,6942.0
19.876953125,241.20898437499997,6942.0
19.876953125,241.212890625,6942.0
19.876953125,241.21679687499994,6941.0
